"NAME","SALE_PRICE","CATEGORY","ORIGINAL_PRICE","AVAILABILITY","URL"
"Apple iPhone X, Fully Unlocked 5.8"", 256 GB - Silver","$1,299.00","Cell Phones & Accessories > Cell Phones > Unlocked Cell Phones","$1,299.00","Only 2 left in stock - order soon.","http://www.amazon.com/dp/B075QLRSPK"
"Google Pixel GSM Unlocked (Certified Refurbished) (128GB, Black)","$419.99","Cell Phones & Accessories > Cell Phones > Unlocked Cell Phones","$419.99","Only 1 left in stock - order soon.","http://www.amazon.com/dp/B0731KJVGG"
"Samsung Galaxy Note 8 SM-N950F/DS Factory Unlocked Phone - 6.3"" Screen - 64GB - International Version - No Warranty (Orchid Gray)","$819.00","Cell Phones & Accessories > Cell Phones > Unlocked Cell Phones","$819.00","Only 2 left in stock - order soon.","http://www.amazon.com/dp/B075KQ622T"
"Motorola MOTO Z PLAY (XT1635) Factory Unlocked Phone - 5.5"" Screen - 32GB - Black (International Version - No Warranty)","$317.98","Cell Phones & Accessories > Cell Phones > Unlocked Cell Phones","$317.98","Only 1 left in stock - order soon.","http://www.amazon.com/dp/B01MDMJGYT"
"Apple iPad Pro (128 GB, Wi-Fi, Gold) - 12"" Display","$738.00","Electronics > Computers & Accessories > Computers & Tablets > Tablets","$738.00","In Stock.","http://www.amazon.com/dp/B0155OC26U"
"Apple TV 4K - 32GB","$179.00","Electronics > Television & Video > Streaming Media Players","$179.00","In Stock.","http://www.amazon.com/dp/B075NCMLYL"
"Microsoft Surface Book (128 GB, 8 GB RAM, Intel Core i5)","$785.00","Electronics > Computers & Accessories > Computers & Tablets > Laptops > 2 in 1 Laptops","$785.00","Only 5 left in stock - order soon.","http://www.amazon.com/dp/B0163GQJOU"
"VIZIO D40u-D1 40-inch 4k Ultra HD Smart LED TV (2016 Model)","$417.99","Electronics > Television & Video > Televisions > LED & LCD TVs","$417.99","In Stock.","http://www.amazon.com/dp/B01A0LGV06"
"AmazonBasics Jumbo Paper Clips, Smooth, 100 per Box, 10-Pack","$6.48","Office Products > Office & School Supplies > Tape, Adhesives & Fasteners > Clips, Clamps & Rings > Clips","$6.48","In Stock.","http://www.amazon.com/dp/B074KDHBQF"
"Serenilite Hand Therapy Stress Ball - Optimal Stress Relief - Great for Hand Exercises and Strengthening - FREE PDF Therapeutic Coloring Book","$10.99","Sports & Outdoors > Sports & Fitness > Exercise & Fitness","$10.99","In Stock.","http://www.amazon.com/dp/B01CLRD1RS"
"Bamboo Finger Traps (12 Pack) Assorted Colors.","$5.10","Toys & Games > Party Supplies > Party Favors","$5.10","In Stock.","http://www.amazon.com/dp/B0080Z0MQE"
